ID,Category,Meal,Dish,Description,Calories,Protein,Carbs,Fats,Fiber
1,Vegetarian,Evening Snack,Makhana,Makhana is a evening snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,124,10.5,49.6,6.0,10.8
2,Vegetarian,Dinner,Roti Sabzi,Roti Sabzi is a dinner meal prepared in an Indian style with balanced nutrition and moderate oil usage.,358,20.8,32.8,9.5,6.5
3,Vegetarian,Breakfast,Upma,Upma is a breakfast meal prepared in an Indian style with balanced nutrition and moderate oil usage.,436,33.3,65.0,12.3,11.9
4,Vegetarian,Dinner,Dal Khichdi,Dal Khichdi is a dinner meal prepared in an Indian style with balanced nutrition and moderate oil usage.,538,26.1,72.9,20.5,7.2
5,Vegetarian,Lunch,Veg Pulao,Veg Pulao is a lunch meal prepared in an Indian style with balanced nutrition and moderate oil usage.,362,12.6,39.3,10.5,9.8
6,Vegetarian,Evening Snack,Makhana,Makhana is a evening snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,174,13.3,36.4,14.0,13.2
7,Vegetarian,Breakfast,Upma,Upma is a breakfast meal prepared in an Indian style with balanced nutrition and moderate oil usage.,463,13.2,53.5,18.5,7.1
8,Vegetarian,Lunch,Dal Rice,Dal Rice is a lunch meal prepared in an Indian style with balanced nutrition and moderate oil usage.,440,19.6,20.5,16.5,14.3
9,Vegetarian,Mid Morning Snack,Buttermilk,Buttermilk is a mid morning snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,271,6.6,33.2,16.3,11.1
10,Vegetarian,Mid Morning Snack,Buttermilk,Buttermilk is a mid morning snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,224,18.3,55.1,8.0,11.0
11,Vegetarian,Lunch,Roti Sabzi,Roti Sabzi is a lunch meal prepared in an Indian style with balanced nutrition and moderate oil usage.,422,6.8,55.6,25.0,9.1
12,Vegetarian,Breakfast,Dosa,Dosa is a breakfast meal prepared in an Indian style with balanced nutrition and moderate oil usage.,473,31.9,68.7,6.0,14.0
13,Vegetarian,Evening Snack,Veg Sandwich,Veg Sandwich is a evening snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,241,34.5,65.5,16.1,11.0
14,Vegetarian,Evening Snack,Roasted Chana,Roasted Chana is a evening snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,195,24.2,52.6,11.9,9.5
15,Vegetarian,Lunch,Paneer Curry,Paneer Curry is a lunch meal prepared in an Indian style with balanced nutrition and moderate oil usage.,489,15.5,72.5,5.8,12.7
16,Vegetarian,Breakfast,Upma,Upma is a breakfast meal prepared in an Indian style with balanced nutrition and moderate oil usage.,637,24.4,28.8,5.4,7.8
17,Vegetarian,Mid Morning Snack,Curd,Curd is a mid morning snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,133,12.5,45.3,20.8,14.7
18,Vegetarian,Evening Snack,Roasted Chana,Roasted Chana is a evening snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,277,18.8,21.4,8.1,14.4
19,Vegetarian,Evening Snack,Roasted Chana,Roasted Chana is a evening snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,256,31.9,47.3,10.3,5.9
20,Vegetarian,Mid Morning Snack,Buttermilk,Buttermilk is a mid morning snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,199,18.7,57.1,12.3,5.2
21,Vegetarian,Breakfast,Poha,Poha is a breakfast meal prepared in an Indian style with balanced nutrition and moderate oil usage.,615,33.1,53.9,13.1,9.4
22,Vegetarian,Breakfast,Dosa,Dosa is a breakfast meal prepared in an Indian style with balanced nutrition and moderate oil usage.,338,14.0,23.4,18.2,13.1
23,Vegetarian,Mid Morning Snack,Apple,Apple is a mid morning snack meal prepared in an Indian style with balanced nutrition and moderate oil usage.,261,34.1,43.4,14.8,13.7
