ID,Category,Meal,Dish,Description,Calories,Protein,Carbs,Fats,Fiber
1,Vegan,Breakfast,"Idlis","A high-protein breakfast meal featuring Idlis - cooked in traditional Indian style.",116,4.0,24.0,0.4,1.5
2,Vegan,Breakfast,"Oats with Mixed Nuts (30g)","A nutrient-rich breakfast meal featuring Oats with Mixed Nuts (30g) - cooked in traditional Indian style.",334,11.0,33.0,18.0,7.0
3,Vegan,Mid Morning Snack,"Masala Oats","A nutrient-rich mid morning snack meal featuring Masala Oats - cooked in traditional Indian style.",140,5.0,24.0,3.0,4.0
4,Vegan,Evening Snack,"Roasted Chana","A delicious evening snack meal featuring Roasted Chana - perfect for your dietary goals.",120,6.0,18.0,2.0,5.0
5,Vegan,Lunch,"Yellow Dal Tadka with Bowl Rice","A delicious lunch meal featuring Yellow Dal Tadka with Bowl Rice - perfect for your dietary goals.",250,9.0,46.0,3.0,6.0
6,Vegan,Lunch,"Yellow Dal Tadka and Brown Rice (Bowl) and Jeera Aloo","A high-protein lunch meal featuring Yellow Dal Tadka and Brown Rice (Bowl) and Jeera Aloo - perfect for your dietary goals.",380,12.0,64.0,9.0,11.5
7,Vegan,Dinner,"Toor Dal with Roti","A healthy dinner meal featuring Toor Dal with Roti - perfect for your dietary goals.",214,9.0,39.0,3.0,8.0
8,Vegan,Dinner,"Cabbage Poriyal with Millet Roti","A home-style dinner meal featuring Cabbage Poriyal with Millet Roti - providing excellent macronutrients.",205,5.5,32.0,5.5,8.0
9,Vegan,Breakfast,"Aloo Paratha","A home-style breakfast meal featuring Aloo Paratha - providing excellent macronutrients.",230,5.0,35.0,8.0,4.0
10,Vegan,Breakfast,"3 Idlis with Moong Sprouts Salad","A high-protein breakfast meal featuring 3 Idlis with Moong Sprouts Salad - cooked in traditional Indian style.",294,16.0,54.0,1.6,8.2
11,Vegan,Mid Morning Snack,"Roasted Chana","A balanced mid morning snack meal featuring Roasted Chana - cooked in traditional Indian style.",120,6.0,18.0,2.0,5.0
12,Vegan,Evening Snack,"Vegan Protein Shake","A delicious evening snack meal featuring Vegan Protein Shake - prepared with minimal oil.",115,22.0,4.0,1.5,1.0
13,Vegan,Lunch,"Tofu Curry with Bowls Rice","A high-protein lunch meal featuring Tofu Curry with Bowls Rice - cooked in traditional Indian style.",375,17.0,48.0,11.0,3.5
14,Vegan,Lunch,"Rajma Curry and Brown Rice (Bowl) and Mushroom Do Pyaza","A high-protein lunch meal featuring Rajma Curry and Brown Rice (Bowl) and Mushroom Do Pyaza - providing excellent macronutrients.",400,15.0,58.0,11.0,14.5
15,Vegan,Dinner,"Yellow Dal Tadka with Quinoa (Bowl)","A nutrient-rich dinner meal featuring Yellow Dal Tadka with Quinoa (Bowl) - providing excellent macronutrients.",240,11.4,39.0,5.0,7.8
16,Vegan,Dinner,"Mixed Veg Curry with Quinoa (Bowl)","A balanced dinner meal featuring Mixed Veg Curry with Quinoa (Bowl) - perfect for your dietary goals.",260,8.4,39.0,8.0,7.8
17,Vegan,Breakfast,"Poha","A healthy breakfast meal featuring Poha - providing excellent macronutrients.",180,3.0,39.0,1.5,2.0
18,Vegan,Breakfast,"Moong Dal Chilla with Cucumber Carrot Salad","A healthy breakfast meal featuring Moong Dal Chilla with Cucumber Carrot Salad - cooked in traditional Indian style.",180,9.0,26.0,4.0,7.0
19,Vegan,Mid Morning Snack,"Mixed Nuts (30g)","A balanced mid morning snack meal featuring Mixed Nuts (30g) - providing excellent macronutrients.",180,6.0,6.0,15.0,3.0
